system:index,NDII,NDVI,NDWI,month,point_id,.geo
4230_0,0.29114482,0.4555052,0.14072183,1,2571,"{""type"":""MultiPoint"",""coordinates"":[]}"
4231_0,0.038732395,0.5061296,0.035903472,1,18127,"{""type"":""MultiPoint"",""coordinates"":[]}"
4232_0,0.15789473,0.6455246,0.3075836,1,1338,"{""type"":""MultiPoint"",""coordinates"":[]}"
4233_0,0.10989441,0.58696795,0.14048338,1,24761,"{""type"":""MultiPoint"",""coordinates"":[]}"
4234_0,0.3411201,0.77675134,0.30417228,1,25493,"{""type"":""MultiPoint"",""coordinates"":[]}"
4235_0,0.06162221,0.20949432,0.102701575,1,11611,"{""type"":""MultiPoint"",""coordinates"":[]}"
4236_0,-0.08768267,0.38478145,-0.0678053,1,8641,"{""type"":""MultiPoint"",""coordinates"":[]}"
4237_0,-0.10665259,0.40127388,-0.19817074,1,21519,"{""type"":""MultiPoint"",""coordinates"":[]}"
4238_0,-0.060085837,0.5025754,-0.10111011,1,12900,"{""type"":""MultiPoint"",""coordinates"":[]}"
4239_0,-0.11414119,0.35366738,-0.12890095,1,14255,"{""type"":""MultiPoint"",""coordinates"":[]}"
4240_0,-0.08878985,0.3753281,-0.080404684,1,20591,"{""type"":""MultiPoint"",""coordinates"":[]}"
4241_0,-0.24473877,0.26615554,-0.25981197,1,11535,"{""type"":""MultiPoint"",""coordinates"":[]}"
4242_0,-0.079065375,0.46629438,-0.13890842,1,1807,"{""type"":""MultiPoint"",""coordinates"":[]}"
4243_0,0.24871783,0.6557397,0.26241186,1,11466,"{""type"":""MultiPoint"",""coordinates"":[]}"
4244_0,0.055087987,0.2793411,0.08950477,1,25268,"{""type"":""MultiPoint"",""coordinates"":[]}"
4245_0,-0.16319238,0.4002181,-0.12204352,1,20684,"{""type"":""MultiPoint"",""coordinates"":[]}"
4246_0,-0.14042172,0.3627451,-0.15808655,1,7174,"{""type"":""MultiPoint"",""coordinates"":[]}"
4247_0,-0.007956104,0.49022675,0.059032176,1,22228,"{""type"":""MultiPoint"",""coordinates"":[]}"
4248_0,-0.18930213,0.3124394,-0.2115794,1,5215,"{""type"":""MultiPoint"",""coordinates"":[]}"
4249_0,0.30016226,0.77249575,0.08248641,1,11507,"{""type"":""MultiPoint"",""coordinates"":[]}"
4250_0,-0.051628765,0.34469855,-0.10519187,1,20438,"{""type"":""MultiPoint"",""coordinates"":[]}"
4251_0,0.0041976105,0.46766436,-0.03173484,1,16208,"{""type"":""MultiPoint"",""coordinates"":[]}"
4252_0,-0.07104386,0.43560934,-0.08835027,1,22129,"{""type"":""MultiPoint"",""coordinates"":[]}"
4253_0,-0.04167522,0.38989168,-0.009548611,1,4528,"{""type"":""MultiPoint"",""coordinates"":[]}"
4254_0,0.07906626,0.263849,0.10711718,1,7178,"{""type"":""MultiPoint"",""coordinates"":[]}"
4255_0,0.053067993,0.5947136,0.06312685,1,344,"{""type"":""MultiPoint"",""coordinates"":[]}"
4256_0,-0.06612996,0.4142218,-0.13186814,1,16291,"{""type"":""MultiPoint"",""coordinates"":[]}"
4257_0,0.26719838,0.7204892,0.28631556,1,12624,"{""type"":""MultiPoint"",""coordinates"":[]}"
4258_0,0.17564586,0.71894956,0.20089693,1,25426,"{""type"":""MultiPoint"",""coordinates"":[]}"
4259_0,0.21667847,0.7675554,0.32894915,1,3494,"{""type"":""MultiPoint"",""coordinates"":[]}"
4260_0,0.058470763,0.5317201,0.106279016,1,15851,"{""type"":""MultiPoint"",""coordinates"":[]}"
4261_0,-0.009610521,0.29218647,-0.0070635723,1,10384,"{""type"":""MultiPoint"",""coordinates"":[]}"
4262_0,0.010807736,0.48990434,-0.19724613,1,13681,"{""type"":""MultiPoint"",""coordinates"":[]}"
4263_0,-0.003474635,0.26710945,-0.09991603,1,7220,"{""type"":""MultiPoint"",""coordinates"":[]}"
4264_0,-0.015065885,0.49967346,-0.07464209,1,13202,"{""type"":""MultiPoint"",""coordinates"":[]}"
4265_0,0.02907489,0.5873016,-0.06050357,1,20965,"{""type"":""MultiPoint"",""coordinates"":[]}"
4266_0,-0.047375888,0.5493311,0.0018924034,1,1704,"{""type"":""MultiPoint"",""coordinates"":[]}"
4267_0,-0.1167343,0.30764705,-0.10774331,1,17788,"{""type"":""MultiPoint"",""coordinates"":[]}"
4268_0,0.10262172,0.5755102,0.18734178,1,8474,"{""type"":""MultiPoint"",""coordinates"":[]}"
4269_0,0.13294117,0.03039781,0.10503946,1,12675,"{""type"":""MultiPoint"",""coordinates"":[]}"
4270_0,0.068737864,0.4852941,0.045382164,1,25254,"{""type"":""MultiPoint"",""coordinates"":[]}"
4271_0,-0.018794648,0.44180498,-0.05404313,1,12215,"{""type"":""MultiPoint"",""coordinates"":[]}"
4272_0,3.1279324E-4,0.4526515,-0.058278147,1,4152,"{""type"":""MultiPoint"",""coordinates"":[]}"
4273_0,0.03015873,0.5195599,0.054945055,1,5862,"{""type"":""MultiPoint"",""coordinates"":[]}"
4274_0,-0.16487902,0.43443355,-0.16546044,1,20791,"{""type"":""MultiPoint"",""coordinates"":[]}"
4275_0,-0.06550449,0.4176,-0.044184864,1,15099,"{""type"":""MultiPoint"",""coordinates"":[]}"
4276_0,0.09380275,0.25181794,0.13094221,1,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
4277_0,0.008823471,0.5669363,0.010706639,1,720,"{""type"":""MultiPoint"",""coordinates"":[]}"
4278_0,-0.07114094,0.4767616,-0.07614213,1,9048,"{""type"":""MultiPoint"",""coordinates"":[]}"
4279_0,0.42163718,0.8357488,0.42404228,1,14735,"{""type"":""MultiPoint"",""coordinates"":[]}"
4280_0,0.07439613,0.37454164,0.12957382,1,8008,"{""type"":""MultiPoint"",""coordinates"":[]}"
4281_0,0.089248896,0.7217598,-0.004654493,1,16726,"{""type"":""MultiPoint"",""coordinates"":[]}"
4282_0,0.36867306,0.84695655,0.3792278,1,23156,"{""type"":""MultiPoint"",""coordinates"":[]}"
4283_0,0.4958979,0.86681974,0.45614034,1,9037,"{""type"":""MultiPoint"",""coordinates"":[]}"
4284_0,-0.07051745,0.38613862,-0.107569724,1,15544,"{""type"":""MultiPoint"",""coordinates"":[]}"
4285_0,-0.108972594,0.43727872,-0.086512886,1,3699,"{""type"":""MultiPoint"",""coordinates"":[]}"
4286_0,0.058940906,0.5622557,0.058612194,1,23888,"{""type"":""MultiPoint"",""coordinates"":[]}"
